Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants",Reopened,"July 6, 2020",MD,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Reopened,"July 6, 2020",MD,Forward
Houses of worship,,Reopened,"July 6, 2020",MD,Forward
Entertainment,Casinos,Reopened,"July 6, 2020",MD,Forward
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Reopened,"July 6, 2020",MD,Forward
Industries,"Manufacturing; Construction, offices",Reopened,"July 6, 2020",MD,Forward
Retail,Retail stores,Open,"July 6, 2020",MA,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",MA,Forward
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Open,"July 6, 2020",MA,Forward
Houses of worship,,Open,"July 6, 2020",MA,Forward
Entertainment,"Bowling alleys in most regions; Museums, aquariums in most regions; Theaters and performance venues in most regions; Movie theaters in most regions; Casinos in most regions",Open,"July 6, 2020",MA,Forward
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms in most regions",Open,"July 6, 2020",MA,Forward
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Open,"July 6, 2020",MA,Forward
Food and drink,Bars,Closed,"July 6, 2020",MA,Forward
Entertainment,"Movie theaters; Museums and aquariums; Amusement parks, water parks and theme parks; Theaters and performance halls; Ballrooms, stadiums and convention halls",Closed,"July 6, 2020",MA,Forward
Outdoor and recreation,Gyms,Closed,"July 6, 2020",MA,Forward
Retail,Retail stores,Reopened,"July 6, 2020",MA,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",MA,Forward
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Reopened,"July 6, 2020",MA,Forward
Houses of worship,,Reopened,"July 6, 2020",MA,Forward
Entertainment,"Bowling alleys in most regions; Museums, aquariums in most regions; Theaters and performance venues in most regions; Movie theaters in most regions; Casinos in most regions",Reopened,"July 6, 2020",MA,Forward
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms in most regions",Reopened,"July 6, 2020",MA,Forward
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Reopened,"July 6, 2020",MA,Forward
Retail,Retail stores; Malls,Open,"July 6, 2020",MN,Forward
Food and drink,Restaurants and bars,Open,"July 6, 2020",MN,Forward
Personal care,"Salons, barbershops, tattoo parlors",Open,"July 6, 2020",MN,Forward
Houses of worship,,Open,"July 6, 2020",MN,Forward
Entertainment,"Theaters and concert halls; Bowling alleys, arcades and museums",Open,"July 6, 2020",MN,Forward
Outdoor and recreation,Campgrounds; Gyms,Open,"July 6, 2020",MN,Forward
Industries,Manufacturing; Offices,Open,"July 6, 2020",MN,Forward
Retail,Retail stores; Malls,Reopened,"July 6, 2020",MN,Forward
Food and drink,Restaurants and bars,Reopened,"July 6, 2020",MN,Forward
Personal care,"Salons, barbershops, tattoo parlors",Reopened,"July 6, 2020",MN,Forward
Houses of worship,,Reopened,"July 6, 2020",MN,Forward
Entertainment,"Theaters and concert halls; Bowling alleys, arcades and museums",Reopened,"July 6, 2020",MN,Forward
Outdoor and recreation,Campgrounds; Gyms,Reopened,"July 6, 2020",MN,Forward
Industries,Manufacturing; Offices,Reopened,"July 6, 2020",MN,Forward
Retail,Retail stores,Open,"July 6, 2020",MT,Forward
Food and drink,"Restaurant dining, bars, breweries and distilleries",Open,"July 6, 2020",MT,Forward
Personal care,"Salons, barbershops, massage parlors",Open,"July 6, 2020",MT,Forward
Houses of worship,,Open,"July 6, 2020",MT,Forward
Entertainment,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos",Open,"July 6, 2020",MT,Forward
Outdoor and recreation,Gyms,Open,"July 6, 2020",MT,Forward
Retail,Retail stores,Reopened,"July 6, 2020",MT,Forward
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopened,"July 6, 2020",MT,Forward
Personal care,"Salons, barbershops, massage parlors",Reopened,"July 6, 2020",MT,Forward
Houses of worship,,Reopened,"July 6, 2020",MT,Forward
Entertainment,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos",Reopened,"July 6, 2020",MT,Forward
Outdoor and recreation,Gyms,Reopened,"July 6, 2020",MT,Forward
Retail,Retail,Open,"July 6, 2020",NE,Forward
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",NE,Forward
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 6, 2020",NE,Forward
Houses of worship,,Open,"July 6, 2020",NE,Forward
Entertainment,"Zoos, movie theaters, libraries and venues",Open,"July 6, 2020",NE,Forward
Outdoor and recreation,Pools; Gyms,Open,"July 6, 2020",NE,Forward
Retail,Retail,Reopened,"July 6, 2020",NE,Forward
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",NE,Forward
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 6, 2020",NE,Forward
Houses of worship,,Reopened,"July 6, 2020",NE,Forward
Entertainment,"Zoos, movie theaters, libraries and venues",Reopened,"July 6, 2020",NE,Forward
Outdoor and recreation,Pools; Gyms,Reopened,"July 6, 2020",NE,Forward
Retail,Retail stores; Malls,Open,"July 6, 2020",NJ,Forward
Food and drink,Outdoor dining at restaurants,Open,"July 6, 2020",NJ,Forward
Personal care,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Open,"July 6, 2020",NJ,Forward
Houses of worship,,Open,"July 6, 2020",NJ,Forward
Entertainment,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Open,"July 6, 2020",NJ,Forward
Outdoor and recreation,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,Open,"July 6, 2020",NJ,Forward
Industries,Construction,Open,"July 6, 2020",NJ,Forward
Food and drink,"Breweries, wineries and distilleries",Closed,"July 6, 2020",NJ,Forward
Entertainment,Movie theaters,Closed,"July 6, 2020",NJ,Forward
Retail,Retail stores; Malls,Reopened,"July 6, 2020",NJ,Forward
Food and drink,Outdoor dining at restaurants,Reopened,"July 6, 2020",NJ,Forward
Personal care,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Reopened,"July 6, 2020",NJ,Forward
Houses of worship,,Reopened,"July 6, 2020",NJ,Forward
Entertainment,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Reopened,"July 6, 2020",NJ,Forward
Outdoor and recreation,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,Reopened,"July 6, 2020",NJ,Forward
Industries,Construction,Reopened,"July 6, 2020",NJ,Forward
Retail,Retail stores,Open,"July 6, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Open,"July 6, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Open,"July 6, 2020",NY,Forward
Houses of worship,,Open,"July 6, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions,Open,"July 6, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks in some regions",Open,"July 6, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production in some regions",Open,"July 6, 2020",NY,Forward
Entertainment,"Movie theaters, casinos; Amusement parks, bowling alleys",Closed,"July 6, 2020",NY,Forward
Outdoor and recreation,Gyms,Closed,"July 6, 2020",NY,Forward
Retail,Retail stores,Reopened,"July 6, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Reopened,"July 6, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Reopened,"July 6, 2020",NY,Forward
Houses of worship,,Reopened,"July 6, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions,Reopened,"July 6, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks in some regions",Reopened,"July 6, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production in some regions",Reopened,"July 6, 2020",NY,Forward
Retail,Retail,Open,"July 6, 2020",ND,Forward
Food and drink,"Restaurant dining, bars",Open,"July 6, 2020",ND,Forward
Personal care,"Salons, tattoo parlors, massage therapy, etc.",Open,"July 6, 2020",ND,Forward
Houses of worship,,Open,"July 6, 2020",ND,Forward
Entertainment,Movie theaters; Music and entertainment venues,Open,"July 6, 2020",ND,Forward
Outdoor and recreation,Gyms; Sports venues,Open,"July 6, 2020",ND,Forward
Retail,Retail,Reopened,"July 6, 2020",ND,Forward
Food and drink,"Restaurant dining, bars",Reopened,"July 6, 2020",ND,Forward
Personal care,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"July 6, 2020",ND,Forward
Houses of worship,,Reopened,"July 6, 2020",ND,Forward
Entertainment,Movie theaters; Music and entertainment venues,Reopened,"July 6, 2020",ND,Forward
Outdoor and recreation,Gyms; Sports venues,Reopened,"July 6, 2020",ND,Forward
Retail,Retail stores,Open,"July 6, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Open,"July 6, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Open,"July 6, 2020",OH,Forward
Houses of worship,,Open,"July 6, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Open,"July 6, 2020",OH,Forward
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Open,"July 6, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Open,"July 6, 2020",OH,Forward
Retail,Retail stores,Reopened,"July 6, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Reopened,"July 6, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"July 6, 2020",OH,Forward
Houses of worship,,Reopened,"July 6, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Reopened,"July 6, 2020",OH,Forward
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Reopened,"July 6, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Reopened,"July 6, 2020",OH,Forward
Retail,Retail stores; Shopping malls,Open,"July 6, 2020",PA,Forward
Food and drink,Restaurants and bars in most counties; Restaurants and bars,Open,"July 6, 2020",PA,Forward
Personal care,"Hair salons, barbershops, spas in most counties; Hair salons, barbershops, spas",Open,"July 6, 2020",PA,Forward
Houses of worship,,Open,"July 6, 2020",PA,Forward
Entertainment,"Casinos, theaters, shopping malls in most counties; Casinos, theaters in all counties",Open,"July 6, 2020",PA,Forward
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; Gyms in most counties; State parks; Public pools; Gyms",Open,"July 6, 2020",PA,Forward
Retail,Retail stores; Shopping malls,Reopened,"July 6, 2020",PA,Forward
Food and drink,Restaurants and bars in most counties; Restaurants and bars,Reopened,"July 6, 2020",PA,Forward
Personal care,"Hair salons, barbershops, spas in most counties; Hair salons, barbershops, spas",Reopened,"July 6, 2020",PA,Forward
Houses of worship,,Reopened,"July 6, 2020",PA,Forward
Entertainment,"Casinos, theaters, shopping malls in most counties; Casinos, theaters in all counties",Reopened,"July 6, 2020",PA,Forward
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; Gyms in most counties; State parks; Public pools; Gyms",Reopened,"July 6, 2020",PA,Forward
Retail,Retail stores; Malls,Open,"July 6, 2020",PR,Forward
Food and drink,Restaurants,Open,"July 6, 2020",PR,Forward
Personal care,"Salons, barbershops; Pet grooming; Spas",Open,"July 6, 2020",PR,Forward
Houses of worship,,Open,"July 6, 2020",PR,Forward
Entertainment,"Museums, movie theaters; Outdoor concerts and other open venues",Open,"July 6, 2020",PR,Forward
Outdoor and recreation,Beaches; Gyms,Open,"July 6, 2020",PR,Forward
Retail,Retail stores; Malls,Reopened,"July 6, 2020",PR,Forward
Food and drink,Restaurants,Reopened,"July 6, 2020",PR,Forward
Personal care,"Salons, barbershops; Pet grooming; Spas",Reopened,"July 6, 2020",PR,Forward
Houses of worship,,Reopened,"July 6, 2020",PR,Forward
Entertainment,"Museums, movie theaters; Outdoor concerts and other open venues",Reopened,"July 6, 2020",PR,Forward
Outdoor and recreation,Beaches; Gyms,Reopened,"July 6, 2020",PR,Forward
Retail,Retail stores,Open,"July 6, 2020",RI,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",RI,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",Open,"July 6, 2020",RI,Forward
Houses of worship,,Open,"July 6, 2020",RI,Forward
Outdoor and recreation,State parks; Beaches; Gyms; Casinos; Campgrounds,Open,"July 6, 2020",RI,Forward
Industries,Offices; Malls,Open,"July 6, 2020",RI,Forward
Retail,Retail stores,Reopened,"July 6, 2020",RI,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",RI,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",Reopened,"July 6, 2020",RI,Forward
Houses of worship,,Reopened,"July 6, 2020",RI,Forward
Outdoor and recreation,State parks; Beaches; Gyms; Casinos; Campgrounds,Reopened,"July 6, 2020",RI,Forward
Industries,Offices; Malls,Reopened,"July 6, 2020",RI,Forward
Retail,Retail stores,Open,"July 6, 2020",SC,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",SC,Forward
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 6, 2020",SC,Forward
Houses of worship,,Open,"July 6, 2020",SC,Forward
Entertainment,"Museums, zoos, aquariums",Open,"July 6, 2020",SC,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Open,"July 6, 2020",SC,Forward
Retail,Retail stores,Reopened,"July 6, 2020",SC,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",SC,Forward
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 6, 2020",SC,Forward
Houses of worship,,Reopened,"July 6, 2020",SC,Forward
Entertainment,"Museums, zoos, aquariums",Reopened,"July 6, 2020",SC,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Reopened,"July 6, 2020",SC,Forward
Retail,Retail stores,Open,"July 6, 2020",TN,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Open,"July 6, 2020",TN,Forward
Houses of worship,,Open,"July 6, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Open,"July 6, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Open,"July 6, 2020",TN,Forward
Retail,Retail stores,Reopened,"July 6, 2020",TN,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"July 6, 2020",TN,Forward
Houses of worship,,Reopened,"July 6, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Reopened,"July 6, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Reopened,"July 6, 2020",TN,Forward
Retail,Retail stores,Open,"July 6, 2020",UT,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",UT,Forward
Personal care,"Salons, personal care businesses",Open,"July 6, 2020",UT,Forward
Houses of worship,,Open,"July 6, 2020",UT,Forward
Outdoor and recreation,Gyms; Pools,Open,"July 6, 2020",UT,Forward
Retail,Retail stores,Reopened,"July 6, 2020",UT,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",UT,Forward
Personal care,"Salons, personal care businesses",Reopened,"July 6, 2020",UT,Forward
Houses of worship,,Reopened,"July 6, 2020",UT,Forward
Outdoor and recreation,Gyms; Pools,Reopened,"July 6, 2020",UT,Forward
Retail,Retail stores,Open,"July 6, 2020",VT,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",VT,Forward
Personal care,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Open,"July 6, 2020",VT,Forward
Houses of worship,,Open,"July 6, 2020",VT,Forward
Entertainment,"Museums, theaters, libraries",Open,"July 6, 2020",VT,Forward
Outdoor and recreation,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",Open,"July 6, 2020",VT,Forward
Industries,"Manufacturing, construction, distribution",Open,"July 6, 2020",VT,Forward
Retail,Retail stores,Reopened,"July 6, 2020",VT,Forward
